Sales,Petrol price
25,73.8
73,75.49
31,75.14
95,76.79
59,77.77
32,79.24
72,79.59
110,80.19
124,85.15
337,79.93
100,80.07
172,72.99
153,73.08
164,73.14
178,75.35
71,75.62
76,74.9
131,74.01
21,75.46
291,74.62
189,76.83
271,76.43
234,76.53
240,77.65
406,78.65
429,74.73
420,72.86
0,72.28
145,75.54
387,83.11
424,83.71
450,84.37
465,84.22
561,84.14
523,84.31
564,86.51
659,87.85
706,91.68
1019,93.11
746,92.43
586,94.19
915,98.14
1032,102.49
1520,99.47
1482,98.96
1733,102.4
1918,101.4
2374,101.4
2967,101.4
2901,101.4
3667,101.4
2601,110.84
3853,110.94
4451,102.63
